10:46:43:457;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:49:569;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:52:089;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28489044308662415;-0.13690467178821564;-0.11802542209625244;-0.05464233085513115;0.2530595064163208;-0.04864197224378586;0.26;-0.14;0.02;0.3042382299900055;12.587;0.0;100;0.24934482004027814;1;1;0;4
10:47:52:190;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28547418117523193;-0.13736450672149658;-0.1179497018456459;-0.05443384498357773;0.2527101933956146;-0.048459243029356;0.27;-0.14;0.02;0.3155294954776764;12.587;0.0;100;0.3938588810269721;1;1;0;4
10:47:52:290;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28547418117523193;-0.13736450672149658;-0.1179497018456459;-0.05443384498357773;0.2527101933956146;-0.048459243029356;0.27;-0.14;0.02;0.3155294954776764;12.587;0.0;100;0.49418479698942974;1;1;0;4
10:47:52:391;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28547418117523193;-0.13736450672149658;-0.1179497018456459;-0.05443384498357773;0.2527101933956146;-0.048459243029356;0.27;-0.14;0.02;0.3155294954776764;12.587;0.0;100;0.5948500100057572;1;1;0;4
10:47:52:492;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.283180832862854;-0.1363222897052765;-0.11831492185592651;-0.054265908896923065;0.25238722562789917;-0.04831213504076004;0.27;-0.14;0.02;0.30518582463264465;12.587;0.0;100;0.6940550819854252;1;1;0;4
10:47:52:593;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.283180832862854;-0.1363222897052765;-0.11831492185592651;-0.054265908896923065;0.25238722562789917;-0.04831213504076004;0.27;-0.14;0.02;0.30518582463264465;12.587;0.0;100;0.7945200339891016;1;1;0;4
10:47:52:693;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2815067172050476;-0.13558891415596008;-0.11879466474056244;-0.054058849811553955;0.2520408630371094;-0.04813018813729286;0.26;-0.13;0.02;0.3000289499759674;12.587;0.0;100;0.8991378450300545;1;1;0;4
10:47:52:794;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2815067172050476;-0.13558891415596008;-0.11879466474056244;-0.054058849811553955;0.2520408630371094;-0.04813018813729286;0.26;-0.13;0.02;0.3000289499759674;12.587;0.0;100;0.9999571100343019;1;1;0;4
10:47:52:895;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2815067172050476;-0.13558891415596008;-0.11879466474056244;-0.054058849811553955;0.2520408630371094;-0.04813018813729286;0.26;-0.13;0.02;0.3000289499759674;12.587;0.0;100;0.09750878403428942;1;1;0;4
10:47:52:998;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28115612268447876;-0.13552697002887726;-0.11873949319124222;-0.05385338142514229;0.25171422958374023;-0.04795023426413536;0.26;-0.13;0.02;0.30159932374954224;12.587;0.0;100;0.18230013403808698;1;1;0;4
10:47:53:099;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28115612268447876;-0.13552697002887726;-0.11873949319124222;-0.05385338142514229;0.25171422958374023;-0.04795023426413536;0.26;-0.13;0.02;0.30159932374954224;12.587;0.0;100;0.2829142609843984;1;1;0;4
10:47:53:199;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28343144059181213;-0.13683973252773285;-0.11844660341739655;-0.053615935146808624;0.2513697147369385;-0.047745734453201294;0.27;-0.14;0.02;0.3125852048397064;12.587;0.0;100;0.3894862169981934;1;1;0;4
10:47:53:300;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28343144059181213;-0.13683973252773285;-0.11844660341739655;-0.053615935146808624;0.2513697147369385;-0.047745734453201294;0.27;-0.14;0.02;0.3125852048397064;12.587;0.0;100;0.48980512999696657;1;1;0;4
10:47:53:400;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28343144059181213;-0.13683973252773285;-0.11844660341739655;-0.053615935146808624;0.2513697147369385;-0.047745734453201294;0.27;-0.14;0.02;0.3125852048397064;12.587;0.0;100;0.5902770130196586;1;1;0;4
10:47:53:501;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28136229515075684;-0.13589617609977722;-0.11833339929580688;-0.05339403823018074;0.2510493993759155;-0.047548796981573105;0.26;-0.13;0.02;0.30157601833343506;12.587;0.0;100;0.6797023289836943;1;1;0;4
10:47:53:602;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28136229515075684;-0.13589617609977722;-0.11833339929580688;-0.05339403823018074;0.2510493993759155;-0.047548796981573105;0.26;-0.13;0.02;0.30157601833343506;12.587;0.0;100;0.7801748029887676;1;1;0;4
10:47:53:703;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2814764976501465;-0.1360853910446167;-0.11823765188455582;-0.0531512051820755;0.2507089078426361;-0.04733709618449211;0.26;-0.13;0.02;0.3005567193031311;12.587;0.0;100;0.8862860720255412;1;1;0;4
10:47:53:803;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2814764976501465;-0.1360853910446167;-0.11823765188455582;-0.0531512051820755;0.2507089078426361;-0.04733709618449211;0.26;-0.13;0.02;0.3005567193031311;12.587;0.0;100;7.751805242151022e-05;1;1;0;4
10:47:53:904;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.2814764976501465;-0.1360853910446167;-0.11823765188455582;-0.0531512051820755;0.2507089078426361;-0.04733709618449211;0.26;-0.13;0.02;0.3005567193031311;12.587;0.0;100;0.10082604200579226;1;1;0;4
10:47:54:004;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.27964386343955994;-0.13525903224945068;-0.11828050762414932;-0.052922531962394714;0.25039151310920715;-0.04713728651404381;0.26;-0.13;0.02;0.29616063833236694;12.587;0.0;100;0.17713457200443372;1;1;0;4
10:47:54:110;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.27964386343955994;-0.13525903224945068;-0.11828050762414932;-0.052922531962394714;0.25039151310920715;-0.04713728651404381;0.26;-0.13;0.02;0.29616063833236694;12.587;0.0;100;0.27760357304941863;1;1;0;4
10:47:54:210;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28026124835014343;-0.13570988178253174;-0.11796578764915466;-0.05268647149205208;0.2500457167625427;-0.046935033053159714;0.27;-0.14;0.02;0.30596333742141724;12.587;0.0;100;0.4003019300289452;1;1;0;4
10:47:54:311;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28026124835014343;-0.13570988178253174;-0.11796578764915466;-0.05268647149205208;0.2500457167625427;-0.046935033053159714;0.27;-0.14;0.02;0.30596333742141724;12.587;0.0;100;0.5008630360243842;1;1;0;4
10:47:54:412;121;200;6;10;6,10;1;-35.3632596;149.165236;583.8;0.28026124835014343;-0.13570988178253174;-0.11796578764915466;-0.05268647149205208;0.2500457167625427;-0.046935033053159714;0.27;-0.14;0.02;0.30596333742141724;12.587;0.0;100;0.6015265160240233;1;1;0;4
10:47:54:513;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27769944071769714;-0.13449691236019135;-0.11789961159229279;-0.05246809870004654;0.24972642958164215;-0.04674258455634117;0.26;-0.13;0.02;0.2951885461807251;12.587;0.0;100;0.6813976960256696;1;1;0;4
10:47:54:613;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27769944071769714;-0.13449691236019135;-0.11789961159229279;-0.05246809870004654;0.24972642958164215;-0.04674258455634117;0.26;-0.13;0.02;0.2951885461807251;12.587;0.0;100;0.7818302710074931;1;1;0;4
10:47:54:714;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27567899227142334;-0.13358449935913086;-0.11805534362792969;-0.0522235743701458;0.24938684701919556;-0.04652431979775429;0.25;-0.13;0.02;0.2896595895290375;12.587;0.0;100;0.8914420920191333;1;1;0;4
10:47:54:815;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27567899227142334;-0.13358449935913086;-0.11805534362792969;-0.0522235743701458;0.24938684701919556;-0.04652431979775429;0.25;-0.13;0.02;0.2896595895290375;12.587;0.0;100;8.302903734147549e-05;1;1;0;4
10:47:54:916;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.27567899227142334;-0.13358449935913086;-0.11805534362792969;-0.05200449377298355;0.24907243251800537;-0.046332601457834244;0.25;-0.13;0.02;0.2896595895290375;12.587;0.0;100;0.11987649701768532;1;1;0;4
10:47:55:017;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.275055468082428;-0.13339033722877502;-0.11823047697544098;-0.05200449377298355;0.24907243251800537;-0.046332601457834244;0.25;-0.13;0.02;0.2908259332180023;12.587;0.0;100;0.1893668890115805;1;1;0;4
10:47:55:117;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.275055468082428;-0.13339033722877502;-0.11823047697544098;-0.05200449377298355;0.24907243251800537;-0.046332601457834244;0.25;-0.13;0.02;0.2908259332180023;12.587;0.0;100;0.2898990670219064;1;1;0;4
10:47:55:218;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2767954170703888;-0.13442930579185486;-0.11824596673250198;-0.051767706871032715;0.24873186647891998;-0.04613233357667923;0.26;-0.13;0.02;0.30090415477752686;12.587;0.0;100;0.39147491002222523;1;1;0;4
10:47:55:319;121;200;6;10;6,10;1;-35.3632597;149.165236;583.8;0.2767954170703888;-0.13442930579185486;-0.11824596673250198;-0.051767706871032715;0.24873186647891998;-0.04613233357667923;0.26;-0.13;0.02;0.30090415477752686;12.587;0.0;100;0.4921070720301941;1;1;0;4
